-81.562	-0.4153	11.637	0.0136	-2.845	-0.0004595
-79.023	0.1143	8.231	-0.0029	-2.844	-0.0004127
-81.88	-0.1933	11.134	0.1246	-2.844	-0.0006329
-78.124	-0.0618	12.3	-0.0923	-2.843	-0.0005421
-79.528	-0.5382	11.498	0.4717	-2.842	-0.0004784
-80.137	-0.5019	10.375	-0.5538	-2.839	-0.0005297
-82.432	0.1438	11.021	-0.4857	-2.838	-0.0002503
-78.359	-0.2336	7.752	-0.0337	-2.838	-0.0002802
-79.487	0.6212	11.336	0.3278	-2.838	-0.0002435
-80.446	-0.5714	8.803	-0.157	-2.837	-0.0005499
-78.015	0.1643	8.291	-0.1903	-2.837	-0.0004902
-77.71	-0.1542	12.522	-0.1266	-2.837	-0.0003807
-78.795	0.5071	7.858	0.4783	-2.836	-0.0005384
-76.695	-0.5998	7.996	0.3134	-2.835	-0.0004634
-78.349	0.3835	8.347	-0.0659	-2.833	-0.000288
-79.133	-0.2566	9.204	0.7333	-2.832	-0.0005407
-78.715	-0.4738	11.347	-0.0796	-2.832	-0.0004807
-77.681	-0.4405	7.714	0.45	-2.83	-0.0006413
-80.309	-0.4044	6.583	0.0452	-2.83	-0.0004722
-78.945	-0.547	7.401	0.0059	-2.829	-0.0004942
-81.129	-0.6536	10.27	-0.0842	-2.829	-0.0004926
-77.42	-0.4507	10.694	-0.5179	-2.828	-0.0003886
-76.295	0.1342	10.16	-0.8058	-2.828	-0.0004065
-80.557	-0.5229	8.103	0.0056	-2.825	-0.0003974
-76.345	-0.2275	11.037	0.8462	-2.824	-0.000619
-79.605	-0.4193	7.81	0.1349	-2.823	-0.0003942
-77.653	0.0775	13.242	0.0709	-2.822	-0.0003357
-78.659	-0.0556	9.304	-0.6666	-2.82	-0.0003302
-79.312	0.2304	9.771	-0.4201	-2.82	-0.0002755
-81.425	-0.2067	9.864	0.5027	-2.819	-0.0003825
-77.458	-0.0283	11.98	0.2265	-2.819	-0.0004618
-77.544	0.6506	8.254	-0.4449	-2.819	-0.0004547
-77.274	0.279	10.359	0.4542	-2.819	-0.000572
-82.416	0.1096	7.6	0.3758	-2.817	-0.0004187
-77.931	0.3853	12.966	-0.0887	-2.817	-0.0005584
-78.626	-0.0322	7.838	0.005	-2.816	-0.0003459
-79.828	-0.4802	7.576	-0.537	-2.815	-0.0002621
-77.699	-0.076	6.544	-0.09	-2.814	-0.0003084
-78.331	-0.2164	8.181	0.7109	-2.814	-0.000337
-76.185	-0.2145	12.709	0.4874	-2.814	-0.0004381
-79.302	-0.6214	10.05	-0.2603	-2.814	-0.000454
-80.275	-0.0978	7.593	-0.3502	-2.813	-0.000401
-81.415	0.6331	9.397	0.1913	-2.812	-0.0003194
-76.447	0.4666	11.74	-0.0788	-2.812	-0.0004034
-80.277	0.039	12.226	-0.8989	-2.811	-0.0004072
-81	0.2335	10.255	-0.0172	-2.811	-0.0004901
-77.92	-0.2789	10.366	-0.045	-2.811	-0.0003763
-82.086	-0.0214	10.353	0.0916	-2.811	-0.0003284
-78.473	0.6683	10.619	-0.0328	-2.811	-0.0004383
-77.451	0.0298	12.796	0.1174	-2.811	-0.0003938
