 21  1  1  0  2
   1  2
    .00000   .16000000  .008  4.14159  .0060  7.83319
    .00100   .16156116  .008  4.14159  .0060  7.83319
    .00200   .16312827  .008  4.14159  .0060  7.83319
    .00300   .16470131  .008  4.14159  .0060  7.83319
    .00400   .16628024  .008  4.14159  .0060  7.83319
    .00500   .16786504  .008  4.14159  .0060  7.83319
    .00600   .16945569  .008  4.14159  .0060  7.83319
    .00700   .17105215  .008  4.14159  .0060  7.83319
    .00800   .17265442  .008  4.14159  .0060  7.83319
    .00900   .17426245  .008  4.14159  .0060  7.83319
    .01000   .17587624  .008  4.14159  .0060  7.83319
    .01100   .17749574  .008  4.14159  .0060  7.83319
    .01200   .17912094  .008  4.14159  .0060  7.83319
    .01300   .18075180  .008  4.14159  .0060  7.83319
    .01400   .18238832  .008  4.14159  .0060  7.83319
    .01500   .18403046  .008  4.14159  .0060  7.83319
    .01600   .18567819  .008  4.14159  .0060  7.83319
    .01700   .18733150  .008  4.14159  .0060  7.83319
    .01800   .18899036  .008  4.14159  .0060  7.83319
    .01900   .19065474  .008  4.14159  .0060  7.83319
    .02000   .19232462  .008  4.14159  .0060  7.83319
