 51 1 1
 2
 .00002   -.771770   .000000
 .00012   -.771844   .000000
 .00022   -.771918   .000000
 .00032   -.771990   .000000
 .00042   -.772060   .000000
 .00052   -.772129   .000000
 .00062   -.772196   .000000
 .00072   -.772262   .000000
 .00082   -.772326   .000000
 .00092   -.772389   .000000
 .00102   -.772450   .000000
 .00112   -.772510   .000000
 .00122   -.772568   .000000
 .00132   -.772625   .000000
 .00142   -.772680   .000000
 .00152   -.772734   .000000
 .00162   -.772786   .000000
 .00172   -.772836   .000000
 .00182   -.772886   .000000
 .00192   -.772933   .000000
 .00202   -.772979   .000000
 .00212   -.773024   .000000
 .00222   -.773067   .000000
 .00232   -.773109   .000000
 .00242   -.773149   .000000
 .00252   -.773187   .000000
 .00262   -.773224   .000000
 .00272   -.773260   .000000
 .00282   -.773294   .000000
 .00292   -.773326   .000000
 .00302   -.773357   .000000
 .00312   -.773387   .000000
 .00322   -.773415   .000000
 .00332   -.773441   .000000
 .00342   -.773466   .000000
 .00352   -.773490   .000000
 .00362   -.773512   .000000
 .00372   -.773532   .000000
 .00382   -.773551   .000000
 .00392   -.773568   .000000
 .00402   -.773584   .000000
 .00412   -.773598   .000000
 .00422   -.773611   .000000
 .00432   -.773623   .000000
 .00442   -.773632   .000000
 .00452   -.773641   .000000
 .00462   -.773648   .000000
 .00472   -.773653   .000000
 .00482   -.773657   .000000
 .00492   -.773659   .000000
 .00502   -.773660   .000000
